agency_id,route_id,route_short_name,route_long_name,route_type
1,01_1,n/a-01_1,Route_01_1,3
1,01_2,n/a-01_2,Route_01_2,3
1,02_1,n/a-02_1,Route_02_1,3
1,02_2,n/a-02_2,Route_02_2,3
1,09_1,n/a-09_1,Route_09_1,3
1,09_2,n/a-09_2,Route_09_2,3
1,104_1,n/a-104_1,Route_104_1,3
1,104_2,n/a-104_2,Route_104_2,3
1,105_1,n/a-105_1,Route_105_1,3
1,105_2,n/a-105_2,Route_105_2,3
1,107_1,n/a-107_1,Route_107_1,3
1,107_2,n/a-107_2,Route_107_2,3
1,12_1,n/a-12_1,Route_12_1,3
1,12_2,n/a-12_2,Route_12_2,3
1,16_1,n/a-16_1,Route_16_1,3
1,16_2,n/a-16_2,Route_16_2,3
1,18_1,n/a-18_1,Route_18_1,3
1,18_2,n/a-18_2,Route_18_2,3
1,19_1,n/a-19_1,Route_19_1,3
1,19_2,n/a-19_2,Route_19_2,3
1,21A_1,n/a-21A_1,Route_21A_1,3
1,21A_2,n/a-21A_2,Route_21A_2,3
1,21B_1,n/a-21B_1,Route_21B_1,3
1,21B_2,n/a-21B_2,Route_21B_2,3
1,22A_1,n/a-22A_1,Route_22A_1,3
1,22A_2,n/a-22A_2,Route_22A_2,3
1,23_1,n/a-23_1,Route_23_1,3
1,23_2,n/a-23_2,Route_23_2,3
1,24_1,n/a-24_1,Route_24_1,3
1,24_2,n/a-24_2,Route_24_2,3
1,25_1,n/a-25_1,Route_25_1,3
1,25_2,n/a-25_2,Route_25_2,3
1,26_1,n/a-26_1,Route_26_1,3
1,26_2,n/a-26_2,Route_26_2,3
1,27_1,n/a-27_1,Route_27_1,3
1,27_2,n/a-27_2,Route_27_2,3
1,28_1,n/a-28_1,Route_28_1,3
1,28_2,n/a-28_2,Route_28_2,3
1,29_2,n/a-29_2,Route_29_2,3
1,30_1,n/a-30_1,Route_30_1,3
1,30_2,n/a-30_2,Route_30_2,3
1,35A_1,n/a-35A_1,Route_35A_1,3
1,35A_2,n/a-35A_2,Route_35A_2,3
1,41_1,n/a-41_1,Route_41_1,3
1,41_2,n/a-41_2,Route_41_2,3
1,44_1,n/a-44_1,Route_44_1,3
1,44_2,n/a-44_2,Route_44_2,3
1,49_1,n/a-49_1,Route_49_1,3
1,49_2,n/a-49_2,Route_49_2,3
1,50_1,n/a-50_1,Route_50_1,3
1,50_2,n/a-50_2,Route_50_2,3
1,51_1,n/a-51_1,Route_51_1,3
1,51_2,n/a-51_2,Route_51_2,3
1,60A_1,n/a-60A_1,Route_60A_1,3
1,60A_2,n/a-60A_2,Route_60A_2,3
1,60B_1,n/a-60B_1,Route_60B_1,3
1,60B_2,n/a-60B_2,Route_60B_2,3
1,84_1,n/a-84_1,Route_84_1,3
1,84_2,n/a-84_2,Route_84_2,3
1,99_1,n/a-99_1,Route_99_1,3
1,99_2,n/a-99_2,Route_99_2,3
1,BRT01_1,n/a-BRT01_1,Route_BRT01_1,3
1,BRT01_2,n/a-BRT01_2,Route_BRT01_2,3
